Buyer,Greater100,Greater105,Greater110,Purchase Count,Market Share,Particular Market Share,Purchase Age,Inverse Age
Valley Ford Limited,3,3,3,3,0.0004898187670561892,0.03968253968253968,186.0,0.005376344086021505
Franze Automotive Inc,0,0,0,3,0.00013994821915891122,0.030360531309297913,35.0,0.02857142857142857
Era Classic,1,1,0,3,0.009026660135749773,0.03349673202614379,274.0,0.0036496350364963502
Vault Motors,3,3,3,3,0.0016793786299069344,0.08888888888888889,201.66666666666666,0.006002049480310349
Waynes Auto World,1,1,1,3,0.0014869498285634316,0.038974358974358976,152.66666666666666,0.00764432172623613
Vancouver Auto Liquidation Center,3,3,1,3,0.001399482191589112,0.049684791174152886,115.66666666666667,0.008833573222702002
Kamloops Honda Cars,3,3,3,3,0.0005073122944510532,0.1361111111111111,160.66666666666666,0.00850804042293404
Gladiator Motors Ltd,3,3,3,3,3.4987054789727804e-05,0.046529366895499615,282.0,0.0035460992907801418
Harmony Auto Sales Ltd - Harmony Honda,2,2,2,3,0.0010146245889021063,0.04412923561859732,40.0,0.02526439482961222
Oakville Auto Sales,0,0,0,3,0.0008746763697431952,0.0428743961352657,,
Demirci Auto,2,2,2,3,0.002484080890070674,0.11538461538461539,64.0,0.015625
Prime Tire and Auto,0,0,0,3,8.74676369743195e-05,0.03968253968253968,37.0,0.02702702702702703
Montero Auto Centre,2,2,2,3,0.001399482191589112,0.04412923561859732,193.66666666666666,0.005494723951748212
Mississauga Auto Collection Inc,0,0,0,3,0.0001224546917640473,0.046529366895499615,162.0,0.006172839506172839
Millwoods Suzuki Ltd.,3,3,1,3,0.0010845986984815619,0.0315029729923347,184.0,0.005434782608695652
Meraki Auto Inc,3,3,3,3,0.0016618851025120708,0.053418803418803416,275.0,0.0036364117211467257
Markham Honda,3,3,1,3,0.0023091456161220348,0.04563492063492063,267.0,0.003745318352059925
Right Turn Auto,0,0,0,3,0.0005947799314253726,0.02701525054466231,154.0,0.006493506493506493
Manitoulin Chrysler,3,3,0,3,8.74676369743195e-05,0.03968253968253968,178.0,0.0056179775280898875
Magog Honda,0,0,0,3,8.74676369743195e-05,0.02701525054466231,130.0,0.007692307692307693
MB MOTORS,3,3,3,3,0.0039535371912392415,0.011277538010211278,88.0,0.011363636363636362
Kelowna Empire Auto Sales - Empire Motors,0,0,0,3,0.0001574417465537751,0.0626984126984127,65.0,0.015384615384615385
