Make,Model,Year,Trim,Buyer,Greater100,Greater105,Greater110,Purchase Count,Market Share,Particular Market Share,Purchase Age,Inverse Age
Hyundai,Elantra,2017,4dr Sdn Auto GL,GBK Automotive Group,0,0,0,1,0.0001574417465537751,0.03333333333333333,,
Hyundai,Elantra,2017,4dr Sdn Auto GL,Courtier Automobile Superieur,1,1,1,1,0.0034987054789727802,0.03333333333333333,,
Hyundai,Elantra,2017,4dr Sdn Auto GL,Direct Auto Sales,1,1,0,1,0.0014869498285634316,0.03333333333333333,91.0,0.01098901098901099
Hyundai,Elantra,2017,4dr Sdn Auto GL,Corcon Auto Sales,1,1,0,1,0.001591910992932615,0.03333333333333333,239.0,0.0041841004184100415
Hyundai,Elantra,2017,4dr Sdn Auto GL,ClearCar,1,1,0,1,0.006577566300468827,0.03333333333333333,,
Hyundai,Elantra,2017,4dr Sdn Auto GL,City Car Sales Ltd.,0,0,0,1,0.00027989643831782243,0.03333333333333333,53.0,0.018867924528301886
Hyundai,Elantra,2017,4dr Sdn Auto GL,Beta Auto,1,0,0,1,0.003533692533762508,0.03333333333333333,92.0,0.010869565217391304
Hyundai,Elantra,2017,4dr Sdn Auto GL,Autospace Incorporated - Deals On Wheelz,1,1,0,1,0.011458260443635855,0.03333333333333333,185.0,0.005405405405405406
Chevrolet,Cruze,2014,4dr Sdn 1LT,DO NOT USE - First Choice Motors,0,0,0,2,0.002414106780491218,0.08,,
Chevrolet,Cruze,2014,4dr Sdn 1LT,Location MAP Leasing,2,2,2,2,0.0011545728080610174,0.08,207.0,0.004830917874396135
Chevrolet,Cruze,2014,4dr Sdn 1LT,1000219133 Ontario Inc,0,0,0,1,0.0008571828423483311,0.04,,
Chevrolet,Cruze,2014,4dr Sdn 1LT,JP Motors Sales Inc.,0,0,0,1,0.0029214190749422713,0.04,57.0,0.017543859649122806
Chevrolet,Cruze,2014,4dr Sdn 1LT,Waynes Auto World,0,0,0,1,0.0014869498285634316,0.04,106.0,0.009433962264150943
Chevrolet,Cruze,2014,4dr Sdn 1LT,Wagner Auto Sales - Corey D. Wagner,1,1,1,1,5.24805821845917e-05,0.04,242.0,0.004132231404958678
Chevrolet,Cruze,2014,4dr Sdn 1LT,Unicar Auto Group,1,1,1,1,0.0023616261983066267,0.04,,
Chevrolet,Cruze,2014,4dr Sdn 1LT,Sundance Chevrolet,1,1,1,1,0.012070533902456092,0.04,99.0,0.010101010101010102
Chevrolet,Cruze,2014,4dr Sdn 1LT,Speedbit Inc.,0,0,0,1,0.001591910992932615,0.04,46.0,0.021739130434782608
Chevrolet,Cruze,2014,4dr Sdn 1LT,Pret Auto 60 Minutes,0,0,0,1,0.0002624029109229585,0.04,50.0,0.02
Chevrolet,Cruze,2014,4dr Sdn 1LT,Patterson Auto Sales Inc.,0,0,0,1,0.0020117556504093484,0.04,219.0,0.0045662100456621
Chevrolet,Cruze,2014,4dr Sdn 1LT,Japcan Motors Ltd.,1,0,0,1,0.0005597928766356449,0.04,186.0,0.005376344086021506
Chevrolet,Cruze,2014,4dr Sdn 1LT,JJ Motor Cars,1,1,1,1,8.74676369743195e-05,0.04,84.0,0.011904761904761904
Chevrolet,Cruze,2014,4dr Sdn 1LT,2035609 Ontario Inc - Jim Perry Motors,1,0,0,1,0.001049611643691834,0.04,,
Chevrolet,Cruze,2014,4dr Sdn 1LT,Flyup Sky Auto,1,1,0,1,0.0011195857532712897,0.04,240.0,0.004166666666666667
Chevrolet,Cruze,2014,4dr Sdn 1LT,Easy Global Trade Inc.,1,0,0,1,0.0009796375341123785,0.04,,
Chevrolet,Cruze,2014,4dr Sdn 1LT,Corcon Auto Sales,1,1,0,1,0.001591910992932615,0.04,37.0,0.02702702702702703
Chevrolet,Cruze,2014,4dr Sdn 1LT,Concept Auto,1,1,1,1,0.0021866909243579875,0.04,178.0,0.0056179775280898875
Chevrolet,Cruze,2014,4dr Sdn 1LT,Automobile Saint-Joseph,0,0,0,1,6.997410957945561e-05,0.04,149.0,0.006711409395973154
Chevrolet,Cruze,2014,4dr Sdn 1LT,9578862 Canada Inc - Prio Auto Sales,1,1,1,1,0.007487229725001749,0.04,190.0,0.005263157894736842
Ford,Escape,2014,4WD 4dr SE,Speedbit Inc.,1,1,0,2,0.001591910992932615,0.044444444444444446,118.5,0.008438818565400843
Ford,Escape,2014,4WD 4dr SE,9209-5462 Qc Inc,0,0,0,2,0.0050031488349310755,0.044444444444444446,101.0,0.009900990099009901
Ford,Escape,2014,4WD 4dr SE,Auto 313 Inc.,0,0,0,2,0.0004723252396613253,0.044444444444444446,124.5,0.008032128514056224
Ford,Escape,2014,4WD 4dr SE,Auto Rev Inc,2,2,1,2,0.0014869498285634316,0.044444444444444446,267.0,0.003745318352059925
Ford,Escape,2014,4WD 4dr SE,Gundhu Auto Sales Ltd,1,1,1,2,0.0019767685956196207,0.044444444444444446,170.5,0.005865102639296188
Ford,Escape,2014,4WD 4dr SE,Sundance Chevrolet,1,1,0,2,0.012070533902456092,0.044444444444444446,236.5,0.004228329809725159
Ford,Escape,2014,4WD 4dr SE,Rteen Auto Ltd.,1,0,0,1,0.0008746763697431951,0.022222222222222223,277.0,0.0036101083032490976
Ford,Escape,2014,4WD 4dr SE,Nubridge Auto Center Inc,0,0,0,1,1.7493527394863902e-05,0.022222222222222223,,
Ford,Escape,2014,4WD 4dr SE,Pacific Nations Auto Sales And Finance Ltd,1,1,1,1,0.0008047022601637394,0.022222222222222223,,
Ford,Escape,2014,4WD 4dr SE,Patterson Auto Sales Inc.,0,0,0,1,0.0020117556504093484,0.022222222222222223,,
Ford,Escape,2014,4WD 4dr SE,Pickard Lane Leasing,0,0,0,1,0.0036386536981316913,0.022222222222222223,190.0,0.005263157894736842
Ford,Escape,2014,4WD 4dr SE,Ranchland Honda,1,1,1,1,0.0016968721573017984,0.022222222222222223,212.0,0.0047169811320754715
Ford,Escape,2014,4WD 4dr SE,1237321 Alberta Inc - Wild Mile Auto Sales,0,0,0,1,0.00019242880134350291,0.022222222222222223,,
Ford,Escape,2014,4WD 4dr SE,Selective Autoland Inc,1,1,1,1,6.997410957945561e-05,0.022222222222222223,94.0,0.010638297872340425
Ford,Escape,2014,4WD 4dr SE,Silverstar Automotive Solutions,1,1,0,1,0.0002099223287383668,0.022222222222222223,267.0,0.003745318352059925
Ford,Escape,2014,4WD 4dr SE,Les Importations Burelle,1,0,0,1,0.0007697152053740117,0.022222222222222223,,
Ford,Escape,2014,4WD 4dr SE,Toplane Auto Group,0,0,0,1,0.0002624029109229585,0.022222222222222223,99.0,0.010101010101010102
Ford,Escape,2014,4WD 4dr SE,Toronto Auto Group,0,0,0,1,0.002099223287383668,0.022222222222222223,182.0,0.005494505494505495
Ford,Escape,2014,4WD 4dr SE,Unicar Auto Group,1,1,1,1,0.0023616261983066267,0.022222222222222223,241.0,0.004149377593360996
