Make,Model,Year,Trim,Buyer,Greater100,Greater105,Greater110,Purchase Count,Market Share,Particular Market Share
Ford,F-150,2019,XLT 4WD SuperCrew 6.5' Box,Bridge Valley,7,3,2,16,0.021954376880554197,0.1391304347826087
Ford,F-150,2019,XLT 4WD SuperCrew 6.5' Box,Automobiles Paille Inc.,6,4,1,15,0.02323140438037926,0.13043478260869565
Ford,F-150,2019,XLT 4WD SuperCrew 6.5' Box,R.S. Car Sales Ltd,0,0,0,9,0.003936043663844377,0.0782608695652174
Ford,F-150,2019,XLT 4WD SuperCrew 6.5' Box,Explorer Van Canada,2,1,0,5,0.0016968721573017984,0.043478260869565216
Ford,F-150,2019,XLT 4WD SuperCrew 6.5' Box,Gateway Leasing - East,0,0,0,5,0.0063326569169407316,0.043478260869565216
Ford,F-150,2019,XLT 4WD SuperCrew 6.5' Box,Gateway Leasing,2,2,1,4,0.008466867259114127,0.034782608695652174
Ford,F-150,2019,XLT 4WD SuperCrew 6.5' Box,2776588 Ontario Limited - Trucktown,0,0,0,4,0.00851934784129872,0.034782608695652174
Ford,F-150,2019,XLT 4WD SuperCrew 6.5' Box,European Auto Gallery,2,2,2,3,0.012123014484640683,0.02608695652173913
Ford,F-150,2019,XLT 4WD SuperCrew 6.5' Box,1202894 Ontario Inc - Edwards Mazda,2,2,2,3,0.002484080890070674,0.02608695652173913
Ford,F-150,2019,XLT 4WD SuperCrew 6.5' Box,1716858 Ontario Inc.,0,0,0,2,0.0028864320201525437,0.017391304347826087
Ford,F-150,2019,XLT 4WD SuperCrew 6.5' Box,Sundance Chevrolet,2,2,1,2,0.012070533902456092,0.017391304347826087
Ford,F-150,2019,XLT 4WD SuperCrew 6.5' Box,6929290 Canada Corporation,2,1,0,2,0.004740745924008117,0.017391304347826087
Ford,F-150,2019,XLT 4WD SuperCrew 6.5' Box,Steele Ford Lincoln,1,0,0,2,8.74676369743195e-05,0.017391304347826087
Ford,F-150,2019,XLT 4WD SuperCrew 6.5' Box,Pioneer Chrysler BC,1,1,1,1,0.010478622909523476,0.008695652173913044
Ford,F-150,2019,XLT 4WD SuperCrew 6.5' Box,Mr. Automotives,0,0,0,1,0.0002274158561332307,0.008695652173913044
Ford,F-150,2019,XLT 4WD SuperCrew 6.5' Box,Overdrive Motors Inc,0,0,0,1,0.0011895598628507453,0.008695652173913044
Ford,F-150,2019,XLT 4WD SuperCrew 6.5' Box,Pacific Nations Auto Sales And Finance Ltd,0,0,0,1,0.0008047022601637394,0.008695652173913044
Ford,F-150,2019,XLT 4WD SuperCrew 6.5' Box,Midtown Motors,1,1,1,1,0.002274158561332307,0.008695652173913044
Ford,F-150,2019,XLT 4WD SuperCrew 6.5' Box,Pickard Lane Leasing,1,0,0,1,0.0036386536981316913,0.008695652173913044
Ford,F-150,2019,XLT 4WD SuperCrew 6.5' Box,Shahnawaz Enterprises Inc - SMS Motors,0,0,0,1,0.0033062766776292773,0.008695652173913044
Hyundai,Elantra,2017,4dr Sdn Auto GL,2970-7528 Quebec Inc - H Gregoire/Lane1,4,4,2,4,0.009219088937093275,0.13333333333333333
Hyundai,Elantra,2017,4dr Sdn Auto GL,9324-9068 Quebec Inc ( Autos Rr ),2,1,0,3,0.003131341403680638,0.1
Hyundai,Elantra,2017,4dr Sdn Auto GL,2120004 Alberta Ltd - Diamond Motors,1,1,1,1,0.002221677979147715,0.03333333333333333
Hyundai,Elantra,2017,4dr Sdn Auto GL,Ehab's Auto Inc.,0,0,0,1,0.0008921698971380589,0.03333333333333333
Hyundai,Elantra,2017,4dr Sdn Auto GL,Tricity Auto,1,1,0,1,0.0015044433559582954,0.03333333333333333
Hyundai,Elantra,2017,4dr Sdn Auto GL,Toronto Auto Group - Sudbury,1,0,0,1,0.0007522216779791477,0.03333333333333333
Hyundai,Elantra,2017,4dr Sdn Auto GL,Scarborough Auto Group - Octane Used Cars,1,1,1,1,0.0009446504793226506,0.03333333333333333
Hyundai,Elantra,2017,4dr Sdn Auto GL,Mitsubishi Joliette,1,1,1,1,0.00013994821915891122,0.03333333333333333
Hyundai,Elantra,2017,4dr Sdn Auto GL,Milestone Motors,1,1,1,1,0.0006822475683996921,0.03333333333333333
Hyundai,Elantra,2017,4dr Sdn Auto GL,Key West Auto Inc.,1,0,0,1,0.0007347281505842838,0.03333333333333333
Hyundai,Elantra,2017,4dr Sdn Auto GL,Jiyash Auto Sales Ltd.,0,0,0,1,0.000174935273948639,0.03333333333333333
Hyundai,Elantra,2017,4dr Sdn Auto GL,Good Deal Motors Ltd.,0,0,0,1,0.0001049611643691834,0.03333333333333333
Hyundai,Elantra,2017,4dr Sdn Auto GL,GBK Automotive Group,0,0,0,1,0.0001574417465537751,0.03333333333333333
Hyundai,Elantra,2017,4dr Sdn Auto GL,Courtier Automobile Superieur,1,1,1,1,0.0034987054789727802,0.03333333333333333
Hyundai,Elantra,2017,4dr Sdn Auto GL,Direct Auto Sales,1,1,0,1,0.0014869498285634316,0.03333333333333333
Hyundai,Elantra,2017,4dr Sdn Auto GL,Corcon Auto Sales,1,1,0,1,0.001591910992932615,0.03333333333333333
Hyundai,Elantra,2017,4dr Sdn Auto GL,ClearCar,1,1,0,1,0.006577566300468827,0.03333333333333333
Hyundai,Elantra,2017,4dr Sdn Auto GL,City Car Sales Ltd.,0,0,0,1,0.00027989643831782243,0.03333333333333333
Hyundai,Elantra,2017,4dr Sdn Auto GL,Beta Auto,1,0,0,1,0.003533692533762508,0.03333333333333333
Hyundai,Elantra,2017,4dr Sdn Auto GL,Autospace Incorporated - Deals On Wheelz,1,1,0,1,0.011458260443635855,0.03333333333333333
Chevrolet,Cruze,2014,4dr Sdn 1LT,DO NOT USE - First Choice Motors,0,0,0,2,0.002414106780491218,0.08
Chevrolet,Cruze,2014,4dr Sdn 1LT,Location MAP Leasing,2,2,2,2,0.0011545728080610174,0.08
Chevrolet,Cruze,2014,4dr Sdn 1LT,1000219133 Ontario Inc,0,0,0,1,0.0008571828423483311,0.04
Chevrolet,Cruze,2014,4dr Sdn 1LT,JP Motors Sales Inc.,0,0,0,1,0.0029214190749422713,0.04
Chevrolet,Cruze,2014,4dr Sdn 1LT,Waynes Auto World,0,0,0,1,0.0014869498285634316,0.04
Chevrolet,Cruze,2014,4dr Sdn 1LT,Wagner Auto Sales - Corey D. Wagner,1,1,1,1,5.24805821845917e-05,0.04
