Make,Model,Buyer,Greater100,Greater105,Greater110,Purchase Count,Market Share,Particular Market Share,Purchase Age,Inverse Age
Hyundai,Elantra,Albi Le Geant,7,4,1,11,0.005055629417115667,0.008716323296354992,133.14285714285714,0.0075107296137339056
Hyundai,Elantra,1638264 Ontario Inc. - Signature Cars,8,8,6,10,0.0018543139038555735,0.00792393026941363,129.2,0.007739938080495357
Hyundai,Elantra,1514831 Ontario Limited - Pathway Hyundai,8,8,7,10,0.0014169757189839759,0.00792393026941363,179.5,0.005571030640668524
Hyundai,Elantra,Pioneer Chrysler BC,4,4,4,10,0.010478622909523476,0.00792393026941363,82.0,0.012195121951219513
Hyundai,Elantra,Myers Kanata Hyundai,10,8,6,10,0.0008396893149534672,0.00792393026941363,136.0,0.007352941176470588
Hyundai,Elantra,HWY 10 Auto Sales OA Mainland Motors,10,10,10,10,0.0014869498285634316,0.00792393026941363,196.57142857142858,0.005087209302325581
Hyundai,Elantra,6929290 Canada Corporation,10,10,8,10,0.004740745924008117,0.00792393026941363,219.4,0.004557885141294439
Hyundai,Elantra,401 Auto RV Canada Inc - Cambridge,9,9,8,10,0.0034112378419984607,0.00792393026941363,207.16666666666666,0.004827031375703943
Hyundai,Elantra,2171574 Ontario Inc. - Guru Auto Service,4,4,3,9,0.00587782520467427,0.0071315372424722665,126.28571428571429,0.007918552036199095
Hyundai,Elantra,Direct Auto Sales,8,8,6,9,0.0014869498285634316,0.0071315372424722665,144.8,0.006906077348066298
Hyundai,Elantra,9324-9068 Quebec Inc ( Autos Rr ),5,4,3,8,0.003131341403680638,0.006339144215530904,78.75,0.012698412698412698
Hyundai,Elantra,Automobile Endirect.com,5,3,1,8,0.008956686026170318,0.006339144215530904,142.71428571428572,0.007007007007007007
Hyundai,Elantra,Sukhi Bath Motors,8,7,7,8,0.003201315513260094,0.006339144215530904,226.25,0.004419889502762431
GMC,Sierra 1500,Automobiles Paille Inc.,64,34,10,145,0.02323140438037926,0.12957998212689903,172.18,0.0058078754791497265
GMC,Sierra 1500,Bridge Valley,14,7,2,85,0.021954376880554197,0.07596067917783736,147.327868852459,0.00678758206297986
GMC,Sierra 1500,Gateway Leasing,18,4,2,56,0.008466867259114127,0.050044682752457555,152.25,0.006568144499178982
GMC,Sierra 1500,Gateway Leasing - East,13,5,2,54,0.0063326569169407316,0.04825737265415549,123.82051282051282,0.008076206253882792
GMC,Sierra 1500,2776588 Ontario Limited - Trucktown,1,1,0,46,0.00851934784129872,0.041108132260947276,122.57142857142857,0.008158508158508158
GMC,Sierra 1500,1068827 Ontario Inc.,6,4,0,23,0.004320901266531383,0.020554066130473638,160.08333333333334,0.006246746486205101
GMC,Sierra 1500,Midtown Motors,7,2,0,23,0.002274158561332307,0.020554066130473638,180.55555555555554,0.005538461538461539
GMC,Sierra 1500,Sundance Chevrolet,7,3,2,19,0.012070533902456092,0.016979445933869526,147.07692307692307,0.006799163179916318
GMC,Sierra 1500,Parkrow Auto Sales Ltd,0,0,0,18,0.006070254006017774,0.0160857908847185,168.91666666666666,0.005920078934385792
GMC,Sierra 1500,Era Classic,0,0,0,17,0.009026660135749773,0.01519213583556747,206.25,0.0048484848484848485
GMC,Sierra 1500,Pickard Lane Leasing,1,0,0,15,0.0036386536981316913,0.013404825737265416,178.57142857142858,0.0056
GMC,Sierra 1500,M & J Canada Inc,0,0,0,15,0.0008396893149534672,0.013404825737265416,172.6,0.005793742757821553
GMC,Sierra 1500,Yosh Shmenge Remarketing,3,2,0,13,0.003533692533762508,0.01161751563896336,131.11111111111111,0.007627118644067796
GMC,Sierra 1500,Autospace Incorporated - Deals On Wheelz,0,0,0,12,0.011458260443635855,0.010723860589812333,153.16666666666666,0.006528835690968444
GMC,Sierra 1500,R.S. Car Sales Ltd,2,0,0,12,0.003936043663844377,0.010723860589812333,176.0,0.005681818181818182
GMC,Sierra 1500,Perth Motors,1,0,0,12,0.0005422993492407809,0.010723860589812333,203.0,0.0049261083743842365
GMC,Sierra 1500,Pentastic Motors,3,2,0,12,0.0004548317122664614,0.010723860589812333,163.125,0.006130268199233717
GMC,Sierra 1500,Go Auto Wholesale - AB,2,1,0,11,0.005283045273248898,0.009830205540661306,174.2,0.0057405281285878304
GMC,Sierra 1500,South Trail Nissan,6,0,0,11,0.0006472605136099643,0.009830205540661306,166.11111111111111,0.006020066889632107
GMC,Sierra 1500,Hinton Chrysler,5,1,0,9,0.0022566650339374433,0.00804289544235925,125.83333333333333,0.007947019867549669
GMC,Sierra 1500,Steve Marshall Motors 1996 ltd,2,1,1,9,0.0042159401021622,0.00804289544235925,104.66666666666667,0.009554140127388535
