,Make,Model,Year,Trim,Buyer,Greater100,Greater105,Greater110,Purchase Count,Market Share,Particular Market Share,Purchase Age,Inverse Age
89,Kia,Forte,2021,LX IVT,2970-7528 Quebec Inc - H Gregoire/Lane1,2,0,0,2,0.009219088937093275,0.5,275.0,0.0036363636363636364
90,Kia,Forte,2021,LX IVT,1964646 Ontario Inc - Auto Market,1,1,1,1,0.0009446504793226506,0.25,92.0,0.010869565217391304
91,Kia,Forte,2021,LX IVT,Courtenay Nissan,1,1,1,1,0.0004723252396613253,0.25,,
92,Ford,F-150,2020,XLT 4WD SuperCrew 5.5' Box,Bridge Valley,2,2,1,12,0.021954376880554197,0.14457831325301204,113.63636363636364,0.0088
93,Ford,F-150,2020,XLT 4WD SuperCrew 5.5' Box,Automobiles Paille Inc.,4,3,1,12,0.02323140438037926,0.14457831325301204,165.75,0.006033182503770739
94,Ford,F-150,2020,XLT 4WD SuperCrew 5.5' Box,R.S. Car Sales Ltd,0,0,0,5,0.003936043663844377,0.060240963855421686,121.0,0.008264462809917356
95,Ford,F-150,2020,XLT 4WD SuperCrew 5.5' Box,Gateway Leasing - East,0,0,0,4,0.0063326569169407316,0.04819277108433735,155.25,0.00644122383252818
96,Ford,F-150,2020,XLT 4WD SuperCrew 5.5' Box,Gateway Leasing,1,1,1,4,0.008466867259114127,0.04819277108433735,159.0,0.006289308176100629
97,Ford,F-150,2020,XLT 4WD SuperCrew 5.5' Box,Explorer Van Canada,2,1,0,4,0.0016968721573017984,0.04819277108433735,160.66666666666666,0.006224066390041494
98,Ford,F-150,2020,XLT 4WD SuperCrew 5.5' Box,Midcan Brokers Inc.,1,0,0,3,0.003341263732419005,0.03614457831325301,183.0,0.00546448087431694
99,Ford,F-150,2020,XLT 4WD SuperCrew 5.5' Box,1202894 Ontario Inc - Edwards Mazda,2,2,2,3,0.002484080890070674,0.03614457831325301,178.0,0.0056179775280898875
100,Ford,F-150,2020,XLT 4WD SuperCrew 5.5' Box,Sundance Chevrolet,2,2,1,2,0.012070533902456092,0.024096385542168676,,
101,Ford,F-150,2020,XLT 4WD SuperCrew 5.5' Box,1716858 Ontario Inc.,0,0,0,2,0.0028864320201525437,0.024096385542168676,191.0,0.005235602094240838
102,Ford,F-150,2020,XLT 4WD SuperCrew 5.5' Box,2776588 Ontario Limited - Trucktown,0,0,0,2,0.00851934784129872,0.024096385542168676,62.5,0.016
103,Ford,F-150,2020,XLT 4WD SuperCrew 5.5' Box,Brown's Volkswagen - Sherwood AutoHaus Ltd,0,0,0,1,0.0007697152053740117,0.012048192771084338,116.0,0.008620689655172414
104,Ford,F-150,2020,XLT 4WD SuperCrew 5.5' Box,Punjab Motors Ltd.,0,0,0,1,0.0003148834931075502,0.012048192771084338,95.0,0.010526315789473684
105,Ford,F-150,2020,XLT 4WD SuperCrew 5.5' Box,Pacific Nations Auto Sales And Finance Ltd,0,0,0,1,0.0008047022601637394,0.012048192771084338,129.0,0.007751937984496124
